Time,Source,Destination,Protocol,Length,Source Port,Destination Port,bad_packet
33.813715896,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
19.968037826,192.167.5.247,192.167.255.255,BROWSER,239,138.0,138.0,0
18.992268317,VMware_8a:4e:1c,Broadcast,ARP,60,,,0
18.87061832,192.167.5.22,192.167.5.35,ICMP,60,,,0
14.081951296,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
29.010317222,192.167.5.35,192.232.16.204,TLSv1.2,1651,57914.0,443.0,0
13.851264099,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.878573869,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.854233403,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
23.874642829,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.705085136,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
28.947688647,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.878593435,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.880926417,192.167.5.22,192.167.5.35,ICMP,60,,,0
23.851559823,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
29.269513067,VMware_8a:31:5e,Broadcast,ARP,60,,,0
18.880536421,192.167.5.22,192.167.5.35,ICMP,60,,,0
23.819276137,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.653329932,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
12.848557454,VMware_8a:4e:1c,Broadcast,ARP,60,,,0
28.951261732,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.976667327,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.747625214,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.878805358,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.674657435,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.737755316,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
19.028814911,VMware_8a:31:5e,Broadcast,ARP,60,,,0
